iter	Logloss
219	0.5212715707
220	0.5210810385
221	0.520907057
222	0.5207547792
223	0.5205892632
224	0.5203971666
225	0.5202369573
226	0.5200963761
227	0.5199653005
228	0.5198201212
229	0.51968726
230	0.5195429387
231	0.5194013012
232	0.5192347893
233	0.5190795749
234	0.5188668466
235	0.5187402368
236	0.5185599208
237	0.5183583685
238	0.5182060914
239	0.518067307
240	0.5179048741
241	0.5177504055
242	0.5175642854
243	0.5174302395
244	0.5172932471
245	0.5171385829
246	0.5169390656
247	0.5167928508
248	0.5166581495
249	0.5165038349
250	0.5163170634
251	0.5161485336
252	0.5160074825
253	0.5158169595
254	0.5156715161
255	0.5154912116
256	0.5153626636
257	0.5152132065
258	0.51507575
259	0.5148954723
260	0.5147126515
261	0.5145109003
262	0.5143398253
263	0.5141723355
264	0.5139987571
265	0.5138186813
266	0.5136589918
267	0.5135103154
268	0.5133672105
269	0.5131974532
270	0.5130390297
271	0.5128803136
272	0.5127114933
273	0.512590368
274	0.5124254077
275	0.5122788991
276	0.5121602697
277	0.5120236939
278	0.5118833022
279	0.5117583454
280	0.5115403406
281	0.5113730435
282	0.5111995835
283	0.5110212698
284	0.5108655892
285	0.5106801491
286	0.5105898748
287	0.5104252224
288	0.5102795853
289	0.5101495027
290	0.5100150149
291	0.5098717658
292	0.5097286842
293	0.5096101841
294	0.509491612
295	0.5093021434
296	0.5091361581
297	0.5090162238
298	0.5088916995
299	0.5086404035
300	0.5085101176
301	0.5083095778
302	0.5081610613
303	0.5079968975
304	0.5078199755
305	0.5076846209
306	0.5075515181
307	0.5073697249
308	0.5072400863
309	0.5070842691
310	0.5069643103
311	0.5068362581
312	0.5066753637
313	0.5065452952
314	0.5064183946
315	0.5062878507
316	0.5061667226
317	0.5060105451
318	0.5059064319
319	0.505742208
320	0.5056065885
321	0.5054728491
322	0.5053025032
323	0.5051625919
324	0.5050380845
325	0.5048566069
326	0.5047390081
327	0.504601086
328	0.5044685204
329	0.5043603543
330	0.5042707248
331	0.5039865095
332	0.5038469422
333	0.5037249509
334	0.5035172274
335	0.5033766926
336	0.5032847185
337	0.5031011575
338	0.5029616427
339	0.5028062917
340	0.5026646541
341	0.5025131031
342	0.502359889
343	0.5022295167
344	0.5020072983
345	0.5018514824
346	0.5016602892
347	0.5015610353
348	0.5014512241
349	0.5013166709
350	0.501195579
351	0.5011026588
352	0.5009723514
353	0.5008162223
354	0.5006847608
355	0.5005669186
356	0.500460536
357	0.5003604917
358	0.5002219244
359	0.5000751803
360	0.4999481386
361	0.4998137761
362	0.4996209649
363	0.4995077883
364	0.4993294142
365	0.4991751837
366	0.4990470052
367	0.4989180634
368	0.4987893389
369	0.4986516148
370	0.4985088838
371	0.4983698682
372	0.4982484655
373	0.498104242
374	0.4979164988
375	0.4977566282
376	0.4976332843
377	0.4974806712
378	0.4973554409
379	0.4972244546
380	0.4970962042
381	0.4969994015
382	0.4968809141
383	0.4967550454
384	0.4966724255
385	0.4965595177
386	0.4964381204
387	0.4962680237
388	0.4961272469
389	0.496031412
390	0.495898036
391	0.4957621023
392	0.4956183209
393	0.4954507153
394	0.495309818
395	0.4951952774
396	0.4950969015
397	0.4949651594
398	0.4948365793
399	0.4947273674
400	0.4946219856
401	0.4945166091
402	0.4943929282
403	0.4942947799
404	0.4941692102
405	0.4940750656
406	0.4939634618
407	0.4938097098
408	0.4937061672
409	0.4935991952
410	0.4934956168
411	0.4933269642
412	0.4932169443
413	0.4930713233
414	0.4929378406
415	0.4928030782
416	0.4926910611
417	0.4925507077
418	0.4924240795
419	0.49230929
420	0.4921594221
421	0.4919768055
422	0.491892284
423	0.4917629729
424	0.4916176937
425	0.4914886252
426	0.4913755203
427	0.4912251641
428	0.4911020883
429	0.49096359
430	0.4908247306
431	0.4906864453
432	0.4905673361
433	0.49042761
434	0.490298812
435	0.4901962783
436	0.4901150813
437	0.4900286003
438	0.4899137247
439	0.489760218
440	0.4896488044
441	0.4895444975
442	0.4893785029
443	0.4892518324
444	0.4891461417
445	0.4890020437
446	0.4888662467
447	0.4887539715
448	0.4886420473
449	0.4885040051
450	0.488368782
451	0.4882264647
452	0.4881280254
453	0.4880149644
454	0.4879033549
455	0.4877756835
456	0.4876495704
457	0.4874712019
458	0.4873727447
459	0.4872400207
460	0.4870948004
461	0.4869134452
462	0.4867983668
463	0.4866807624
464	0.4865566059
465	0.4864103824
466	0.4863006085
467	0.4861739348
468	0.486066589
469	0.4859570011
470	0.4858252214
471	0.4856927753
472	0.4855550542
473	0.4854159816
474	0.4852448295
475	0.4851404298
476	0.4849854015
477	0.4848541052
478	0.4847262351
479	0.4845900482
480	0.4844308222
481	0.4843065508
482	0.4842262426
483	0.4841208172
484	0.4840140782
485	0.4838863317
486	0.4838004419
487	0.4836571253
488	0.4835331239
489	0.4834266905
490	0.4832994357
491	0.4831948876
492	0.4830586096
493	0.4829167282
494	0.4827970799
495	0.4826544199
496	0.4825587426
497	0.482459458
498	0.4823113103
499	0.4821717658
500	0.4820701145
501	0.4819409571
502	0.4818597786
503	0.4817503963
504	0.4816318969
505	0.4815019109
506	0.4814035643
507	0.4813032517
508	0.4811907358
509	0.4810589782
510	0.4809095778
511	0.4808161748
512	0.4807134791
513	0.4805986559
514	0.4805042384
515	0.4803840136
516	0.4802859649
517	0.4801533486
518	0.4800449122
519	0.479923281
520	0.4798217407
521	0.479673072
522	0.4795702408
523	0.4794733362
524	0.4793401575
525	0.479266211
526	0.4791295689
527	0.4790040897
528	0.4789084956
529	0.4787798353
530	0.4786257388
531	0.4785201216
532	0.4784032457
533	0.4782639948
534	0.4781713978
535	0.4780637507
536	0.4779641817
537	0.4778374022
538	0.4777851052
539	0.4777024208
540	0.4775903583
541	0.4774779883
542	0.4773591222
543	0.4772740221
544	0.4771801049
545	0.47706252
546	0.47694408
547	0.4768651751
548	0.4767460141
549	0.4766583811
550	0.4765628849
551	0.4764523103
552	0.4763799378
553	0.476262501
554	0.4761820707
555	0.4760749521
556	0.4759488273
557	0.4758063833
558	0.4756786643
559	0.4755359952
560	0.4754011679
561	0.4753076377
562	0.4751553392
563	0.4749945564
564	0.4748662787
565	0.4747356731
566	0.4746572828
567	0.4745465182
568	0.4744023146
569	0.4742794621
570	0.474180205
571	0.474051692
572	0.4739163084
573	0.4737901194
574	0.4736770557
575	0.4735512085
576	0.4734408676
577	0.4733194758
578	0.4731844239
579	0.4730825723
580	0.4729637325
581	0.4728734933
582	0.4727701685
583	0.4726989845
584	0.4725978978
585	0.4724821666
586	0.4723922362
587	0.472266349
588	0.4721596102
589	0.4720044349
590	0.4718794508
591	0.4717485717
592	0.4716575096
593	0.4715484815
594	0.4714140799
595	0.4713381154
596	0.4712131353
597	0.4711012603
598	0.4709901087
599	0.4709032183
600	0.4707962934
601	0.4706849538
602	0.4706113975
603	0.4705043876
604	0.4703885612
605	0.4702705401
606	0.4701616128
607	0.4700595511
608	0.4699631081
609	0.46986901
610	0.4695603176
611	0.4694311246
612	0.4693490626
613	0.4692492415
614	0.4691095544
615	0.4689879545
616	0.468873734
617	0.4687170117
618	0.4686246364
619	0.4685541918
620	0.468471473
621	0.4683606249
622	0.4682074871
623	0.4681068423
624	0.4680207655
625	0.4679243344
626	0.467818787
627	0.4677180568
628	0.4676008863
629	0.4675064239
630	0.4674206755
631	0.4673016521
632	0.4672136647
633	0.467110829
634	0.4670356417
635	0.466909337
636	0.4668178976
637	0.4667060404
638	0.4665640989
639	0.4664612772
640	0.4663804121
641	0.4663085899
642	0.4661921536
643	0.4660774421
644	0.4659588872
645	0.4658345082
646	0.4657135385
647	0.4656033613
648	0.4655223667
649	0.4654032502
650	0.4653165685
651	0.465209566
652	0.4650801621
653	0.4649620635
654	0.4648402525
655	0.4647349444
656	0.4646209736
657	0.4645297601
658	0.4644138262
659	0.4643476174
660	0.4642500073
661	0.4641515105
662	0.4640142488
663	0.4638869626
664	0.4637824024
665	0.4637051666
666	0.4636288928
667	0.4635134366
668	0.4634209359
669	0.4633250541
670	0.4632232543
671	0.4630975196
672	0.4629538619
673	0.4628411783
674	0.4627473065
675	0.4626372109
676	0.4625394138
677	0.4624594077
678	0.4623494896
679	0.4622649627
680	0.4621545381
681	0.4620108219
682	0.461894027
683	0.4618099237
684	0.4616628233
685	0.4615713229
686	0.4614492557
687	0.4613294376
688	0.4612251395
689	0.4611217991
690	0.461039037
691	0.4609376274
692	0.4608093178
693	0.4607216307
694	0.4606382468
695	0.4605071447
696	0.4603974562
697	0.4602789763
698	0.4601594535
699	0.4600603767
700	0.4599902856
701	0.4598832988
702	0.4597405742
703	0.4596517002
704	0.4595147735
705	0.4594488957
706	0.4593483498
707	0.4592641232
708	0.4591622009
709	0.4590627974
710	0.4589528647
711	0.4588551349
712	0.4588048123
713	0.4586949253
714	0.4586071092
715	0.4585103901
716	0.4584095451
717	0.4583080596
718	0.4582042618
719	0.4580776805
720	0.4579801069
721	0.4578957623
722	0.457788303
723	0.4576463755
724	0.4575437782
725	0.4574570323
726	0.4573691043
727	0.4572600935
728	0.4571586561
729	0.4570626534
730	0.456923769
731	0.4568568867
732	0.4567656565
733	0.4566488161
734	0.4565755472
735	0.4564443029
736	0.4563635825
737	0.4562785175
738	0.4561346335
739	0.4560402623
740	0.4559667117
741	0.4558602744
742	0.4557860149
743	0.4556704561
744	0.4555495246
745	0.4554250952
746	0.4553126133
747	0.4552133783
748	0.4551048807
749	0.4550461826
750	0.4549111128
751	0.4548164901
752	0.4547441453
753	0.4546720896
754	0.4546251718
755	0.454534989
756	0.4544465742
757	0.4543570542
758	0.4542634613
759	0.454184375
760	0.4540791034
761	0.4539676126
762	0.453910194
763	0.4538350765
764	0.453697173
765	0.4536074324
766	0.4535352468
767	0.453410832
768	0.453323473
769	0.4532111796
770	0.4530752257
771	0.4529493809
772	0.4528394021
773	0.4527403587
774	0.4526251506
775	0.4525156582
776	0.4524033303
777	0.4522994639
778	0.4522161789
779	0.4521235758
780	0.4520246394
781	0.451959638
782	0.4518282148
783	0.4517337084
784	0.4516284707
785	0.4515295905
786	0.4514556916
787	0.4513895516
788	0.4513173465
789	0.4512032144
790	0.451100621
791	0.4510167836
792	0.4509301482
793	0.450842694
794	0.4507613443
795	0.4506721624
796	0.4505721057
797	0.4504853753
798	0.4503979046
799	0.450287158
800	0.4501795788
801	0.4500643818
802	0.4499678713
803	0.4498785601
804	0.4498317737
805	0.4497406075
806	0.4496683729
807	0.4495662923
808	0.449497681
809	0.4494244265
810	0.449356838
811	0.449242952
812	0.4491656839
813	0.4490936121
814	0.4489871501
815	0.4488735979
816	0.448771774
817	0.4486686496
818	0.4485737971
819	0.4484906182
820	0.4484041396
821	0.4483312176
822	0.4482282845
823	0.4481259761
824	0.4480165009
825	0.4479506251
826	0.4478871138
827	0.4477971204
828	0.4477010778
829	0.447585286
830	0.4474744156
831	0.4473935389
832	0.4473008914
833	0.4471959522
834	0.4471002958
835	0.4470072229
836	0.4469279244
837	0.4468157769
838	0.4467178411
839	0.4466354723
840	0.4465362877
841	0.4464631209
842	0.4463454808
843	0.4462418679
844	0.4461585961
845	0.4460315378
846	0.4459673072
847	0.445839534
848	0.4457175525
849	0.4456358642
850	0.4455482112
851	0.4454392477
852	0.4453543379
853	0.4452714624
854	0.4451645088
855	0.4450841861
856	0.4449911259
857	0.4449058677
858	0.4448030452
859	0.4446818943
860	0.4445797823
861	0.4444648129
862	0.4443611497
863	0.4442426872
864	0.4441458745
865	0.4440556485
866	0.4439313563
867	0.4438273286
868	0.4437208238
869	0.4436159137
870	0.4435174993
871	0.4434314455
872	0.4433009376
873	0.4431874297
874	0.443111244
875	0.443010944
876	0.4429286199
877	0.4428166261
878	0.4427128139
879	0.4426397116
880	0.4425567582
881	0.442490269
882	0.4423927088
883	0.4423024097
884	0.4421764927
885	0.4420868476
886	0.4419604125
887	0.4418577623
888	0.4417647726
889	0.4417051381
890	0.4416232564
891	0.441526185
892	0.4414442047
893	0.4413483059
894	0.4412517991
895	0.4411737276
896	0.4410875501
897	0.4409880583
898	0.4409154118
899	0.4408105375
900	0.4406960901
901	0.4406267042
902	0.4405687259
903	0.4404836837
904	0.440399574
905	0.4403036599
906	0.4401931692
907	0.4401190453
908	0.4400448046
909	0.4399589168
910	0.4398605548
911	0.4397968268
912	0.4396858985
913	0.4395892835
914	0.4395129174
915	0.4394472497
916	0.439369222
917	0.4392655697
918	0.4391669254
919	0.439062335
920	0.4389434971
921	0.4388454932
922	0.4387754791
923	0.4386853721
924	0.4385769918
925	0.4385017635
926	0.4384052441
927	0.4382985353
928	0.4382022658
929	0.4380886871
930	0.4380108982
931	0.4378942214
932	0.4378054267
933	0.4377085666
934	0.4376145864
935	0.4375228784
936	0.4374675988
937	0.4373775295
938	0.4373026337
939	0.4372247979
940	0.437140686
941	0.437073218
942	0.4369929243
943	0.4369150625
944	0.4368182756
945	0.4367470817
946	0.4366488076
947	0.4365715645
948	0.4364903516
949	0.4363780072
950	0.4363126266
951	0.4362233664
952	0.4361536632
953	0.4360718576
954	0.4359880911
955	0.4358900054
956	0.4358289378
957	0.4357491903
958	0.4356828407
959	0.4355946363
960	0.4354901809
961	0.4354485304
962	0.4353995626
963	0.4353218825
964	0.4352382861
965	0.4351575266
966	0.4350718031
967	0.4350141815
968	0.4349368445
969	0.4348571996
970	0.434772721
971	0.4346826113
972	0.4345590744
973	0.4344416161
974	0.4343395789
975	0.4342506303
976	0.4341900807
977	0.4341074011
978	0.4340105572
979	0.4339579351
980	0.4338591383
981	0.4337756158
982	0.4336708208
983	0.4336083069
984	0.4335475155
985	0.4334704254
986	0.4333920638
987	0.4332977672
988	0.433224158
989	0.4331318017
990	0.433056893
991	0.4329785235
992	0.4329099684
993	0.4328322178
994	0.4327203268
995	0.4326362919
996	0.432552138
997	0.4324257358
998	0.4323670491
999	0.4322915885
