iter	Passed	Remaining
487	5704	5985
488	5715	5972
489	5727	5961
490	5739	5949
491	5749	5936
492	5760	5924
493	5771	5912
494	5782	5899
495	5793	5886
496	5804	5874
497	5814	5861
498	5825	5848
499	5836	5836
500	5846	5823
501	5857	5810
502	5868	5798
503	5878	5785
504	5889	5772
505	5900	5760
506	5910	5747
507	5921	5734
508	5932	5722
509	5944	5711
510	5957	5700
511	5967	5688
512	5979	5676
513	5992	5666
514	6005	5655
515	6016	5643
516	6028	5631
517	6041	5621
518	6052	5609
519	6065	5599
520	6079	5589
521	6092	5579
522	6103	5566
523	6114	5554
524	6129	5545
525	6142	5535
526	6153	5523
527	6165	5511
528	6177	5499
529	6189	5489
530	6201	5477
531	6212	5465
532	6223	5452
533	6234	5440
534	6245	5428
535	6256	5416
536	6267	5403
537	6278	5391
538	6288	5378
539	6299	5365
540	6309	5353
541	6320	5340
542	6330	5328
543	6342	5316
544	6354	5305
545	6367	5294
546	6378	5282
547	6390	5271
548	6401	5258
549	6413	5247
550	6424	5235
551	6436	5224
552	6447	5211
553	6459	5200
554	6471	5189
555	6482	5177
556	6495	5166
557	6508	5155
558	6521	5145
559	6532	5132
560	6545	5121
561	6556	5110
562	6569	5098
563	6580	5087
564	6592	5075
565	6604	5064
566	6615	5051
567	6626	5039
568	6636	5027
569	6647	5015
570	6659	5003
571	6669	4990
572	6682	4979
573	6695	4969
574	6706	4957
575	6719	4946
576	6730	4934
577	6742	4922
578	6754	4911
579	6766	4899
580	6779	4889
581	6789	4876
582	6803	4866
583	6815	4854
584	6826	4843
585	6837	4830
586	6848	4818
587	6860	4806
588	6871	4794
589	6884	4784
590	6895	4772
591	6908	4761
592	6919	4749
593	6931	4737
594	6943	4726
595	6954	4714
596	6965	4702
597	6976	4690
598	6987	4678
599	6998	4665
600	7009	4653
601	7019	4640
602	7029	4628
603	7040	4615
604	7051	4603
605	7061	4591
606	7072	4579
607	7082	4566
608	7095	4555
609	7106	4543
610	7118	4531
611	7131	4521
612	7141	4508
613	7152	4496
614	7164	4484
615	7174	4472
616	7186	4461
617	7199	4450
618	7210	4438
619	7223	4427
620	7233	4414
621	7246	4403
622	7259	4392
623	7270	4380
624	7282	4369
625	7295	4358
626	7307	4347
627	7319	4335
628	7331	4324
629	7342	4312
630	7355	4301
631	7368	4290
632	7382	4280
633	7393	4267
634	7404	4256
635	7416	4244
636	7428	4233
637	7439	4221
638	7450	4209
639	7461	4197
640	7472	4184
641	7482	4172
642	7493	4160
643	7504	4148
644	7515	4136
645	7526	4124
646	7537	4112
647	7547	4099
648	7558	4087
649	7568	4075
650	7579	4063
651	7590	4051
652	7600	4039
653	7611	4026
654	7622	4014
655	7632	4002
656	7643	3990
657	7653	3978
658	7664	3966
659	7675	3953
660	7686	3941
661	7697	3930
662	7712	3920
663	7724	3908
664	7735	3897
665	7747	3885
666	7759	3873
667	7771	3862
668	7782	3850
669	7794	3838
670	7804	3826
671	7817	3815
672	7828	3803
673	7841	3792
674	7852	3780
675	7863	3769
676	7877	3758
677	7888	3746
678	7900	3734
679	7912	3723
680	7924	3712
681	7935	3700
682	7948	3689
683	7960	3677
684	7973	3666
685	7984	3654
686	7995	3642
687	8007	3631
688	8018	3619
689	8029	3607
690	8040	3595
691	8051	3583
692	8062	3571
693	8073	3559
694	8083	3547
695	8096	3536
696	8107	3524
697	8118	3512
698	8133	3502
699	8144	3490
700	8155	3478
701	8166	3466
702	8177	3454
703	8188	3442
704	8199	3430
705	8209	3418
706	8220	3406
707	8231	3394
708	8241	3382
709	8252	3370
710	8263	3358
711	8274	3347
712	8286	3335
713	8298	3323
714	8308	3311
715	8319	3300
716	8331	3288
717	8342	3276
718	8354	3264
719	8365	3253
720	8375	3241
721	8385	3228
722	8396	3217
723	8407	3205
724	8418	3193
725	8429	3181
726	8440	3169
727	8452	3158
728	8463	3146
729	8474	3134
730	8485	3122
731	8496	3110
732	8507	3098
733	8518	3087
734	8529	3075
735	8540	3063
736	8551	3051
737	8561	3039
738	8572	3027
739	8585	3016
740	8596	3004
741	8608	2993
742	8619	2981
743	8630	2969
744	8641	2957
745	8653	2946
746	8664	2934
747	8678	2923
748	8689	2911
749	8701	2900
750	8713	2888
751	8725	2877
752	8736	2865
753	8749	2854
754	8760	2842
755	8772	2831
756	8787	2820
757	8801	2809
758	8812	2798
759	8825	2786
760	8837	2775
761	8849	2764
762	8860	2752
763	8870	2740
764	8882	2728
765	8893	2716
766	8903	2704
767	8914	2692
768	8924	2680
769	8935	2669
770	8946	2657
771	8957	2645
772	8968	2633
773	8979	2621
774	8990	2610
775	9001	2598
776	9012	2586
777	9023	2574
778	9033	2562
779	9044	2551
780	9055	2539
781	9065	2527
782	9076	2515
783	9087	2503
784	9097	2491
785	9111	2480
786	9121	2468
787	9132	2456
788	9146	2446
789	9157	2434
790	9168	2422
791	9179	2410
792	9189	2398
793	9201	2387
794	9211	2375
795	9222	2363
796	9233	2351
797	9244	2340
798	9255	2328
799	9266	2316
800	9276	2304
801	9287	2292
802	9298	2281
803	9308	2269
804	9319	2257
805	9329	2245
806	9340	2233
807	9353	2222
808	9365	2211
809	9377	2199
810	9390	2188
811	9403	2177
812	9415	2165
813	9428	2154
814	9441	2143
815	9452	2131
816	9465	2120
817	9477	2108
818	9488	2097
819	9500	2085
820	9514	2074
821	9527	2063
822	9541	2051
823	9552	2040
824	9564	2028
825	9576	2017
826	9587	2005
827	9599	1994
828	9611	1982
829	9623	1971
830	9635	1959
831	9646	1947
832	9658	1936
833	9670	1924
834	9682	1913
835	9695	1902
836	9708	1890
837	9719	1879
838	9731	1867
839	9742	1855
840	9754	1844
841	9764	1832
842	9775	1820
843	9786	1808
844	9797	1797
845	9808	1785
846	9818	1773
847	9829	1761
848	9840	1750
849	9851	1738
850	9861	1726
851	9872	1714
852	9883	1703
853	9894	1691
854	9905	1679
855	9916	1668
856	9926	1656
857	9937	1644
858	9949	1633
859	9960	1621
860	9971	1609
861	9982	1598
862	9993	1586
863	10004	1574
864	10015	1563
865	10025	1551
866	10037	1539
867	10048	1528
868	10059	1516
869	10072	1505
870	10084	1493
871	10095	1481
872	10107	1470
873	10121	1459
874	10137	1448
875	10149	1436
876	10160	1425
877	10173	1413
878	10185	1402
879	10197	1390
880	10211	1379
881	10223	1367
882	10235	1356
883	10246	1344
884	10258	1333
885	10270	1321
886	10282	1309
887	10295	1298
888	10307	1287
889	10321	1275
890	10332	1263
891	10344	1252
892	10356	1240
893	10367	1229
894	10378	1217
895	10389	1205
896	10400	1194
897	10411	1182
898	10422	1170
899	10433	1159
900	10444	1147
901	10454	1135
902	10464	1124
903	10475	1112
904	10485	1100
905	10496	1089
906	10507	1077
907	10517	1065
908	10528	1053
909	10538	1042
910	10549	1030
911	10559	1018
912	10570	1007
913	10581	995
914	10593	984
915	10603	972
916	10614	960
917	10625	949
918	10636	937
919	10647	925
920	10658	914
921	10669	902
922	10680	891
923	10692	879
924	10703	867
925	10714	856
926	10725	844
927	10735	832
928	10746	821
929	10757	809
930	10768	798
931	10779	786
932	10789	774
933	10800	763
934	10811	751
935	10823	740
936	10833	728
937	10844	716
938	10855	705
939	10866	693
940	10877	682
941	10887	670
942	10898	658
943	10908	647
944	10919	635
945	10930	623
946	10941	612
947	10951	600
948	10962	589
949	10973	577
950	10983	565
951	10994	554
952	11005	542
953	11015	531
954	11026	519
955	11037	507
956	11047	496
957	11057	484
958	11068	473
959	11079	461
960	11090	450
961	11101	438
962	11113	426
963	11130	415
964	11142	404
965	11154	392
966	11165	381
967	11177	369
968	11189	357
969	11202	346
970	11215	334
971	11228	323
972	11239	311
973	11252	300
974	11264	288
975	11276	277
976	11340	266
977	11364	255
978	11379	244
979	11391	232
980	11403	220
981	11414	209
982	11426	197
983	11436	185
984	11447	174
985	11457	162
986	11468	151
987	11479	139
988	11489	127
989	11500	116
990	11510	104
991	11521	92
992	11531	81
993	11542	69
994	11553	58
995	11564	46
996	11575	34
997	11586	23
998	11597	11
999	11608	0
